,loss_G,loss_D,loss_G_AB,loss_G_BA,loss_cycle_ABA,loss_cycle_BAB,loss_id_A,loss_id_B,loss_D_A,loss_D_B
2090,3.9480931758880615,0.3582800030708313,0.8256874084472656,0.34463444352149963,0.1292039453983307,0.06656628847122192,0.1166992112994194,0.0473146066069603,0.1976926475763321,0.160587340593338
2091,2.7517201900482178,0.2836374044418335,0.5165376663208008,0.30723267793655396,0.07139693945646286,0.06815280020236969,0.05764123052358627,0.048849284648895264,0.19604933261871338,0.08758805692195892
2092,2.3683993816375732,0.35990917682647705,0.2388061285018921,0.2896464467048645,0.07041095197200775,0.06400087475776672,0.05334727466106415,0.045818429440259933,0.23200339078903198,0.12790580093860626
2093,2.839143991470337,0.3300310969352722,0.42214667797088623,0.3474101722240448,0.0788772851228714,0.07352910935878754,0.05539245903491974,0.053712181746959686,0.21795696020126343,0.11207415163516998
2094,2.497297525405884,0.3243175745010376,0.19842804968357086,0.26320356130599976,0.07384325563907623,0.07676094770431519,0.053608477115631104,0.05231630802154541,0.19723865389823914,0.12707893550395966
2095,2.578082323074341,0.3515167832374573,0.22455120086669922,0.36590033769607544,0.06679313629865646,0.08316779136657715,0.04306947439908981,0.05453478544950485,0.18076713383197784,0.17074963450431824
2096,3.43363618850708,0.37203964591026306,0.2220495343208313,0.32011303305625916,0.10335889458656311,0.10750618577003479,0.07518202066421509,0.08138258755207062,0.22289550304412842,0.14914414286613464
2097,2.773930788040161,0.2713991403579712,0.2916000187397003,0.3060559928417206,0.09584961831569672,0.06596127152442932,0.06984443962574005,0.0417887344956398,0.17929695546627045,0.09210218489170074
2098,2.725398063659668,0.28464779257774353,0.248732790350914,0.2812767028808594,0.07245191186666489,0.08653690665960312,0.05891973525285721,0.062180303037166595,0.14660584926605225,0.13804194331169128
2099,2.9109396934509277,0.3532067537307739,0.39717838168144226,0.2876913249492645,0.07412110269069672,0.09335678070783615,0.03813066706061363,0.072127565741539,0.1952674835920334,0.15793928503990173
2100,3.4481348991394043,0.20096147060394287,0.6334326267242432,0.31092917919158936,0.11327603459358215,0.06550821661949158,0.09722000360488892,0.04596608504652977,0.13414785265922546,0.06681361794471741
2101,3.5474538803100586,0.48741415143013,1.0268785953521729,0.41538065671920776,0.0702660083770752,0.08712929487228394,0.052502065896987915,0.05374620482325554,0.1838911771774292,0.3035229742527008
2102,2.9025700092315674,0.3262364864349365,0.3272157311439514,0.41197532415390015,0.06939470022916794,0.09229801595211029,0.055239807814359665,0.05405053496360779,0.1758326292037964,0.15040385723114014
2103,2.939066171646118,0.26128560304641724,0.32159826159477234,0.21723948419094086,0.09928995370864868,0.08059295266866684,0.07355163246393204,0.046728260815143585,0.15160617232322693,0.10967941582202911
2104,4.004987716674805,0.3190862536430359,0.7923475503921509,0.5359250903129578,0.07929453253746033,0.11087413877248764,0.06716646999120712,0.08783914893865585,0.13095685839653015,0.18812939524650574
2105,2.840850353240967,0.22636854648590088,0.3643715977668762,0.4790411591529846,0.07878759503364563,0.06711287051439285,0.06880281120538712,0.03888380154967308,0.14265498518943787,0.08371356129646301
2106,3.257535457611084,0.2907334268093109,0.42497557401657104,0.39211729168891907,0.10014335811138153,0.08434548228979111,0.06735926866531372,0.05175161361694336,0.13442201912403107,0.15631140768527985
2107,3.4558427333831787,0.19755592942237854,0.3999660909175873,0.3780621886253357,0.0863821804523468,0.1068597063422203,0.07220248132944107,0.07687661796808243,0.08426780998706818,0.11328812688589096
2108,3.869363784790039,0.2782374620437622,0.874442458152771,0.4539995491504669,0.09737517684698105,0.0936848446726799,0.07253535836935043,0.05352897197008133,0.09852711856365204,0.17971032857894897
2109,3.3353238105773926,0.24548903107643127,0.1304841935634613,0.3887367844581604,0.1220589280128479,0.08475922048091888,0.0983591079711914,0.05122515559196472,0.11856284737586975,0.12692618370056152
2110,2.7499403953552246,0.25968313217163086,0.33549559116363525,0.46097829937934875,0.06521821022033691,0.07876215875148773,0.044990118592977524,0.05774246156215668,0.12736567854881287,0.1323174387216568
2111,2.8530752658843994,0.21813993155956268,0.18896029889583588,0.5155033469200134,0.07452990114688873,0.08697949349880219,0.060979634523391724,0.04572388157248497,0.07350723445415497,0.14463269710540771
2112,3.170515537261963,0.34633010625839233,0.9603093862533569,0.31972143054008484,0.05970623344182968,0.08173494040966034,0.041962407529354095,0.053252216428518295,0.14050471782684326,0.20582537353038788
2113,4.3619279861450195,0.1592099964618683,0.33995869755744934,0.6768016219139099,0.1132655143737793,0.14071333408355713,0.08422049134969711,0.07685534656047821,0.048829786479473114,0.11038020253181458
2114,3.69881010055542,0.07773951441049576,0.8262261748313904,0.7624038457870483,0.05965770408511162,0.0935436338186264,0.057072632014751434,0.05856069177389145,0.026096656918525696,0.05164285749197006
2115,4.4969401359558105,0.07301844656467438,0.7927250862121582,0.8235971331596375,0.10916195809841156,0.08401015400886536,0.11651864647865295,0.07326075434684753,0.029851345345377922,0.043167099356651306
2116,4.086231231689453,0.058680567890405655,0.7595014572143555,1.0090725421905518,0.0644649937748909,0.10483872890472412,0.04446450620889664,0.08045948296785355,0.02562737837433815,0.033053189516067505
2117,3.7884016036987305,0.0653606504201889,0.6165752410888672,0.9111469388008118,0.08079501241445541,0.08530561625957489,0.04982694983482361,0.07010769098997116,0.02038193866610527,0.04497871547937393
2118,3.893935203552246,0.03848140686750412,1.097947359085083,0.7486375570297241,0.06804408878087997,0.07583053410053253,0.05398476868867874,0.06773602962493896,0.0199261624366045,0.01855524256825447
2119,3.666757106781006,0.09128564596176147,0.6842221021652222,0.9632413387298584,0.05415943264961243,0.09059464931488037,0.03938983008265495,0.07496079802513123,0.019653234630823135,0.07163241505622864
2120,3.71653151512146,0.12230704724788666,0.7872154116630554,0.32774701714515686,0.08422353863716125,0.1072508916258812,0.06869292259216309,0.06867200136184692,0.03750958666205406,0.0847974643111229
2121,3.221851348876953,0.11359194666147232,0.43073275685310364,0.4705265760421753,0.07906327396631241,0.0917365774512291,0.05663813278079033,0.06588056683540344,0.07003303617238998,0.043558910489082336
2122,3.158043622970581,0.0994831919670105,0.4744582176208496,0.5941233038902283,0.06793993711471558,0.09159250557422638,0.0395098440349102,0.059317655861377716,0.0448460727930069,0.0546371228992939
